Bulan,Penumpang,Moda
Januari,3133700.0,MRT
Februari,2595293.0,MRT
Maret,2876356.0,MRT
April,2607904.0,MRT
Mei,3175772.0,MRT
Juni,3474541.0,MRT
Juli,3784237.0,MRT
Agustus,3738973.0,MRT
September,3556484.0,MRT
Januari,93631.0,LRT
Februari,89934.0,LRT
Maret,92004.0,LRT
April,84571.0,LRT
Mei,96550.0,LRT
Juni,102707.0,LRT
Juli,132456.0,LRT
Agustus,129080.0,LRT
September,96628.0,LRT
Januari,30934491.0,Transjakarta
Februari,28506393.0,Transjakarta
Maret,30085836.0,Transjakarta
April,26901324.0,Transjakarta
Mei,32021887.0,Transjakarta
Juni,31617767.0,Transjakarta
Juli,35503341.0,Transjakarta
Agustus,33113022.0,Transjakarta
September,32394170.0,Transjakarta
